# 21aefx_opt-mangled.dat                 writespec.pro: Wed Oct 19 12:26:28 2022
# wavelength(um) flux(mJy)
     0.451864      0.18812022
     0.451957      0.19054264
     0.452051      0.19096779
     0.452144      0.19351107
     0.452237      0.18726332
     0.452330      0.17984469
     0.452423      0.17297137
     0.452517      0.17235093
     0.452610      0.17942262
     0.452703      0.17681932
     0.452796      0.17880341
     0.452890      0.18638695
     0.452983      0.18533377
     0.453076      0.18124071
     0.453169      0.17501047
     0.453262      0.17583030
     0.453356      0.18488982
     0.453449      0.18632247
     0.453542      0.18604911
     0.453635      0.19122713
     0.453728      0.18538657
     0.453822      0.17507075
     0.453915      0.18165601
     0.454008      0.18922516
     0.454101      0.18409432
     0.454195      0.18071656
     0.454288      0.19439551
     0.454381      0.21770570
     0.454474      0.21569092
     0.454567      0.21526932
     0.454661      0.21704029
     0.454754      0.22153630
     0.454847      0.22271484
     0.454940      0.21542647
     0.455034      0.22377561
     0.455127      0.22706311
